Product,Category,Date,Month,Hour,Department,ip,url
O'Brien Men's Neoprene Life Vest,indoor outdoor games,9/1/2017 6:06,Sep,6,fan shop ,56.236.85.9,/department/fan%20shop/category/indoor/outdoor%20games/product/O'Brien%20Men's%20Neoprene%20Life%20Vest
Under Armour Hustle Storm Medium Duffle Bag,fitness accessories,9/1/2017 6:06,Sep,6,footwear ,190.134.131.64,/department/footwear/category/fitness%20accessories/product/Under%20Armour%20Hustle%20Storm%20Medium%20Duffle%20Bag/add_to_cart
Under Armour Women's Micro G Skulpt Running S,boxing & mma,9/1/2017 6:06,Sep,6,footwear ,171.218.47.35,/department/footwear/category/boxing%20&%20mma/product/Under%20Armour%20Women's%20Micro%20G%20Skulpt%20Running%20S
Under Armour Men's Compression EV SL Slide,electronics,9/1/2017 6:06,Sep,6,footwear ,194.78.95.39,/department/footwear/category/electronics/product/Under%20Armour%20Men's%20Compression%20EV%20SL%20Slide
SOLE E35 Elliptical,strength training,9/1/2017 6:07,Sep,6,footwear ,41.209.131.244,/department/footwear/category/strength%20training/product/SOLE%20E35%20Elliptical/add_to_cart
Nike Men's Dri-FIT Victory Golf Polo,women's apparel,9/1/2017 6:07,Sep,6,golf ,81.232.70.160,/department/golf/category/women's%20apparel/product/Nike%20Men's%20Dri-FIT%20Victory%20Golf%20Polo
Under Armour Hustle Storm Medium Duffle Bag,fitness accessories,9/1/2017 6:08,Sep,6,footwear ,131.132.236.70,/department/footwear/category/fitness%20accessories/product/Under%20Armour%20Hustle%20Storm%20Medium%20Duffle%20Bag
Nike Men's Comfort 2 Slide,tennis & racquet,9/1/2017 6:09,Sep,6,fitness ,186.82.23.71,/department/fitness/category/tennis%20&%20racquet/product/Nike%20Men's%20Comfort%202%20Slide
Under Armour Men's Tech II T-Shirt,lacrosse,9/1/2017 6:09,Sep,6,fitness ,7.178.104.99,/department/fitness/category/lacrosse/product/Under%20Armour%20Men's%20Tech%20II%20T-Shirt
Nike Men's Free 5.0+ Running Shoe,cardio equipment,9/1/2017 6:09,Sep,6,footwear ,186.82.23.71,/department/footwear/category/cardio%20equipment/product/Nike%20Men's%20Free%205.0+%20Running%20Shoe
Nike Men's Fingertrap Max Training Shoe,soccer,9/1/2017 6:10,Sep,6,fitness ,64.75.129.109,/department/fitness/category/soccer/product/Nike%20Men's%20Fingertrap%20Max%20Training%20Shoe
adidas Youth Germany Black/Red Away Match Soc,girls' apparel,9/1/2017 6:10,Sep,6,golf ,187.193.85.79,/department/golf/category/girls'%20apparel/product/adidas%20Youth%20Germany%20Black/Red%20Away%20Match%20Soc
Pelican Sunstream 100 Kayak,water sports,9/1/2017 6:11,Sep,6,fan shop ,173.253.223.50,/department/fan%20shop/category/water%20sports/product/Pelican%20Sunstream%20100%20Kayak
Field & Stream Sportsman 16 Gun Fire Safe,fishing,9/1/2017 6:12,Sep,6,fan shop ,57.209.125.46,/department/fan%20shop/category/fishing/product/Field%20&%20Stream%20Sportsman%2016%20Gun%20Fire%20Safe
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,strength training,9/1/2017 6:12,Sep,6,footwear ,217.154.105.170,/department/footwear/category/strength%20training/product/Yakima%20DoubleDown%20Ace%20Hitch%20Mount%204-Bike%20Rack
Columbia Men's PFG Anchor Tough T-Shirt,shop by sport,9/1/2017 6:13,Sep,6,golf ,62.164.176.196,/department/golf/category/shop%20by%20sport/product/Columbia%20Men's%20PFG%20Anchor%20Tough%20T-Shirt
Perfect Fitness Perfect Rip Deck,cleats,9/1/2017 6:13,Sep,6,apparel ,26.26.6.78,/department/apparel/category/cleats/product/Perfect%20Fitness%20Perfect%20Rip%20Deck
Ogio Race Golf Shoes,golf bags & carts,9/1/2017 6:14,Sep,6,outdoors ,73.239.207.127,/department/outdoors/category/golf%20bags%20&%20carts/product/Ogio%20Race%20Golf%20Shoes/add_to_cart
Stiga Master Series ST3100 Competition Indoor,hockey,9/1/2017 6:15,Sep,6,fitness ,26.26.6.78,/department/fitness/category/hockey/product/Stiga%20Master%20Series%20ST3100%20Competition%20Indoor/add_to_cart
Diamondback Boys' Insight 24 Performance Hybr,basketball,9/1/2017 6:15,Sep,6,fitness ,64.233.242.248,/department/fitness/category/basketball/product/Diamondback%20Boys'%20Insight%2024%20Performance%20Hybr
adidas Youth Germany Black/Red Away Match Soc,girls' apparel,9/1/2017 6:15,Sep,6,golf ,187.193.85.79,/department/golf/category/girls'%20apparel/product/adidas%20Youth%20Germany%20Black/Red%20Away%20Match%20Soc
Nike Men's CJ Elite 2 TD Football Cleat,men's footwear,9/1/2017 6:15,Sep,6,apparel ,210.138.158.124,/department/apparel/category/men's%20footwear/product/Nike%20Men's%20CJ%20Elite%202%20TD%20Football%20Cleat
Columbia Men's PFG Anchor Tough T-Shirt,shop by sport,9/1/2017 6:15,Sep,6,golf ,64.75.129.109,/department/golf/category/shop%20by%20sport/product/Columbia%20Men's%20PFG%20Anchor%20Tough%20T-Shirt
O'Brien Men's Neoprene Life Vest,indoor outdoor games,9/1/2017 6:16,Sep,6,fan shop ,61.237.4.104,/department/fan%20shop/category/indoor/outdoor%20games/product/O'Brien%20Men's%20Neoprene%20Life%20Vest
O'Brien Men's Neoprene Life Vest,indoor outdoor games,9/1/2017 6:16,Sep,6,fan shop ,52.173.216.27,/department/fan%20shop/category/indoor/outdoor%20games/product/O'Brien%20Men's%20Neoprene%20Life%20Vest
The North Face Women's Recon Backpack,hunting & shooting,9/1/2017 6:16,Sep,6,fan shop ,63.241.234.226,/department/fan%20shop/category/hunting%20&%20shooting/product/The%20North%20Face%20Women's%20Recon%20Backpack
adidas Men's Germany Black Crest Away Tee,girls' apparel,9/1/2017 6:16,Sep,6,golf ,63.241.234.226,/department/golf/category/girls'%20apparel/product/adidas%20Men's%20Germany%20Black%20Crest%20Away%20Tee
Nike Men's Dri-FIT Victory Golf Polo,women's apparel,9/1/2017 6:17,Sep,6,golf ,118.186.177.193,/department/golf/category/women's%20apparel/product/Nike%20Men's%20Dri-FIT%20Victory%20Golf%20Polo
O'Brien Men's Neoprene Life Vest,indoor outdoor games,9/1/2017 6:17,Sep,6,fan shop ,197.41.145.14,/department/fan%20shop/category/indoor/outdoor%20games/product/O'Brien%20Men's%20Neoprene%20Life%20Vest/add_to_cart
Diamondback Boys' Insight 24 Performance Hybr,basketball,9/1/2017 6:18,Sep,6,fitness ,130.130.149.74,/department/fitness/category/basketball/product/Diamondback%20Boys'%20Insight%2024%20Performance%20Hybr
Bag Boy Beverage Holder,golf gloves,9/1/2017 6:18,Sep,6,outdoors ,197.41.145.14,/department/outdoors/category/golf%20gloves/product/Bag%20Boy%20Beverage%20Holder
O'Brien Men's Neoprene Life Vest,indoor outdoor games,9/1/2017 6:18,Sep,6,fan shop ,73.239.207.127,/department/fan%20shop/category/indoor/outdoor%20games/product/O'Brien%20Men's%20Neoprene%20Life%20Vest/add_to_cart
O'Brien Men's Neoprene Life Vest,indoor outdoor games,9/1/2017 6:19,Sep,6,fan shop ,130.130.149.74,/department/fan%20shop/category/indoor/outdoor%20games/product/O'Brien%20Men's%20Neoprene%20Life%20Vest
Bridgestone e6 Straight Distance NFL Tennesse,electronics,9/1/2017 6:19,Sep,6,outdoors ,197.41.145.14,/department/outdoors/category/electronics/product/Bridgestone%20e6%20Straight%20Distance%20NFL%20Tennesse
Nike Men's Comfort 2 Slide,tennis & racquet,9/1/2017 6:20,Sep,6,fitness ,217.154.105.170,/department/fitness/category/tennis%20&%20racquet/product/Nike%20Men's%20Comfort%202%20Slide/add_to_cart
Under Armour Men's Compression EV SL Slide,electronics,9/1/2017 6:21,Sep,6,footwear ,73.239.207.127,/department/footwear/category/electronics/product/Under%20Armour%20Men's%20Compression%20EV%20SL%20Slide
Under Armour Hustle Storm Medium Duffle Bag,fitness accessories,9/1/2017 6:21,Sep,6,footwear ,209.139.38.243,/department/footwear/category/fitness%20accessories/product/Under%20Armour%20Hustle%20Storm%20Medium%20Duffle%20Bag
Mio ALPHA Heart Rate Monitor/Sport Watch,kids' golf clubs,9/1/2017 6:22,Sep,6,outdoors ,62.164.176.196,/department/outdoors/category/kids'%20golf%20clubs/product/Mio%20ALPHA%20Heart%20Rate%20Monitor/Sport%20Watch
Nike Men's Free TR 5.0 TB Training Shoe,as seen on  tv!,9/1/2017 6:22,Sep,6,footwear ,62.164.176.196,/department/footwear/category/as%20seen%20on%20%20tv!/product/Nike%20Men's%20Free%20TR%205.0%20TB%20Training%20Shoe
Perfect Fitness Perfect Rip Deck,cleats,9/1/2017 6:22,Sep,6,apparel ,210.138.158.124,/department/apparel/category/cleats/product/Perfect%20Fitness%20Perfect%20Rip%20Deck
LIJA Women's Button Golf Dress,golf shoes,9/1/2017 6:22,Sep,6,outdoors ,52.173.216.27,/department/outdoors/category/golf%20shoes/product/LIJA%20Women's%20Button%20Golf%20Dress
Under Armour Kids' Mercenary Slide,electronics,9/1/2017 6:23,Sep,6,footwear ,190.66.208.45,/department/footwear/category/electronics/product/Under%20Armour%20Kids'%20Mercenary%20Slide
SOLE E25 Elliptical,basketball,9/1/2017 6:23,Sep,6,fitness ,118.186.177.193,/department/fitness/category/basketball/product/SOLE%20E25%20Elliptical/add_to_cart
Team Golf Texas Longhorns Putter Grip,accessories,9/1/2017 6:23,Sep,6,outdoors ,118.186.177.193,/department/outdoors/category/accessories/product/Team%20Golf%20Texas%20Longhorns%20Putter%20Grip
adidas Kids' RG III Mid Football Cleat,featured shops,9/1/2017 6:24,Sep,6,apparel ,173.253.223.50,/department/apparel/category/featured%20shops/product/adidas%20Kids'%20RG%20III%20Mid%20Football%20Cleat
Nike Men's Comfort 2 Slide,tennis & racquet,9/1/2017 6:24,Sep,6,fitness ,73.239.207.127,/department/fitness/category/tennis%20&%20racquet/product/Nike%20Men's%20Comfort%202%20Slide
Nike Men's Comfort 2 Slide,tennis & racquet,9/1/2017 6:25,Sep,6,fitness ,73.239.207.127,/department/fitness/category/tennis%20&%20racquet/product/Nike%20Men's%20Comfort%202%20Slide/add_to_cart
Hirzl Men's Hybrid Golf Glove,golf balls,9/1/2017 6:25,Sep,6,outdoors ,62.164.176.196,/department/outdoors/category/golf%20balls/product/Hirzl%20Men's%20Hybrid%20Golf%20Glove
Under Armour Men's Tech II T-Shirt,lacrosse,9/1/2017 6:25,Sep,6,fitness ,168.185.213.44,/department/fitness/category/lacrosse/product/Under%20Armour%20Men's%20Tech%20II%20T-Shirt
O'Brien Men's Neoprene Life Vest,indoor outdoor games,9/1/2017 6:25,Sep,6,fan shop ,168.185.213.44,/department/fan%20shop/category/indoor/outdoor%20games/product/O'Brien%20Men's%20Neoprene%20Life%20Vest
Nike Men's Dri-FIT Victory Golf Polo,women's apparel,9/1/2017 6:25,Sep,6,golf ,207.70.176.83,/department/golf/category/women's%20apparel/product/Nike%20Men's%20Dri-FIT%20Victory%20Golf%20Polo/add_to_cart
Nike Men's CJ Elite 2 TD Football Cleat,men's footwear,9/1/2017 6:26,Sep,6,apparel ,171.218.47.35,/department/apparel/category/men's%20footwear/product/Nike%20Men's%20CJ%20Elite%202%20TD%20Football%20Cleat/add_to_cart
Pelican Sunstream 100 Kayak,water sports,9/1/2017 6:26,Sep,6,fan shop ,46.223.252.42,/department/fan%20shop/category/water%20sports/product/Pelican%20Sunstream%20100%20Kayak
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,strength training,9/1/2017 6:27,Sep,6,footwear ,168.185.213.44,/department/footwear/category/strength%20training/product/Yakima%20DoubleDown%20Ace%20Hitch%20Mount%204-Bike%20Rack/add_to_cart
Bridgestone e6 Straight Distance NFL Tennesse,electronics,9/1/2017 6:27,Sep,6,outdoors ,95.60.0.190,/department/outdoors/category/electronics/product/Bridgestone%20e6%20Straight%20Distance%20NFL%20Tennesse
Nike Men's Dri-FIT Victory Golf Polo,women's apparel,9/1/2017 6:27,Sep,6,golf ,217.154.105.170,/department/golf/category/women's%20apparel/product/Nike%20Men's%20Dri-FIT%20Victory%20Golf%20Polo
Diamondback Boys' Insight 24 Performance Hybr,basketball,9/1/2017 6:27,Sep,6,fitness ,116.234.83.212,/department/fitness/category/basketball/product/Diamondback%20Boys'%20Insight%2024%20Performance%20Hybr/add_to_cart
Hirzl Men's Hybrid Golf Glove,golf balls,9/1/2017 6:28,Sep,6,outdoors ,217.154.105.170,/department/outdoors/category/golf%20balls/product/Hirzl%20Men's%20Hybrid%20Golf%20Glove/add_to_cart
Pelican Sunstream 100 Kayak,water sports,9/1/2017 6:28,Sep,6,fan shop ,14.237.63.159,/department/fan%20shop/category/water%20sports/product/Pelican%20Sunstream%20100%20Kayak
Nike Men's Dri-FIT Victory Golf Polo,women's apparel,9/1/2017 6:28,Sep,6,golf ,26.26.6.78,/department/golf/category/women's%20apparel/product/Nike%20Men's%20Dri-FIT%20Victory%20Golf%20Polo
Perfect Fitness Perfect Rip Deck,cleats,9/1/2017 6:29,Sep,6,apparel ,171.218.47.35,/department/apparel/category/cleats/product/Perfect%20Fitness%20Perfect%20Rip%20Deck
Garmin Approach S3 Golf GPS Watch,trade-in,9/1/2017 6:29,Sep,6,outdoors ,217.154.105.170,/department/outdoors/category/trade-in/product/Garmin%20Approach%20S3%20Golf%20GPS%20Watch
adidas Kids' RG III Mid Football Cleat,featured shops,9/1/2017 6:29,Sep,6,apparel ,118.186.177.193,/department/apparel/category/featured%20shops/product/adidas%20Kids'%20RG%20III%20Mid%20Football%20Cleat/add_to_cart
insta-bed Neverflat Air Mattress,hunting & shooting,9/1/2017 6:30,Sep,6,fan shop ,46.223.252.42,/department/fan%20shop/category/hunting%20&%20shooting/product/insta-bed%20Neverflat%20Air%20Mattress
O'Brien Men's Neoprene Life Vest,indoor outdoor games,9/1/2017 6:30,Sep,6,fan shop ,149.95.217.202,/department/fan%20shop/category/indoor/outdoor%20games/product/O'Brien%20Men's%20Neoprene%20Life%20Vest
Columbia Men's PFG Anchor Tough T-Shirt,shop by sport,9/1/2017 6:31,Sep,6,golf ,72.122.145.189,/department/golf/category/shop%20by%20sport/product/Columbia%20Men's%20PFG%20Anchor%20Tough%20T-Shirt
adidas Kids' RG III Mid Football Cleat,featured shops,9/1/2017 6:31,Sep,6,apparel ,67.33.149.24,/department/apparel/category/featured%20shops/product/adidas%20Kids'%20RG%20III%20Mid%20Football%20Cleat/add_to_cart
Nike Dri-FIT Crew Sock 6 Pack,hockey,9/1/2017 6:32,Sep,6,fitness ,171.218.47.35,/department/fitness/category/hockey/product/Nike%20Dri-FIT%20Crew%20Sock%206%20Pack
O'Brien Men's Neoprene Life Vest,indoor outdoor games,9/1/2017 6:33,Sep,6,fan shop ,9.146.85.217,/department/fan%20shop/category/indoor/outdoor%20games/product/O'Brien%20Men's%20Neoprene%20Life%20Vest
Bag Boy Beverage Holder,golf gloves,9/1/2017 6:33,Sep,6,outdoors ,118.186.177.193,/department/outdoors/category/golf%20gloves/product/Bag%20Boy%20Beverage%20Holder
Columbia Men's PFG Anchor Tough T-Shirt,shop by sport,9/1/2017 6:33,Sep,6,golf ,118.186.177.193,/department/golf/category/shop%20by%20sport/product/Columbia%20Men's%20PFG%20Anchor%20Tough%20T-Shirt
The North Face Women's Recon Backpack,hunting & shooting,9/1/2017 6:33,Sep,6,fan shop ,72.122.145.189,/department/fan%20shop/category/hunting%20&%20shooting/product/The%20North%20Face%20Women's%20Recon%20Backpack
Columbia Men's PFG Anchor Tough T-Shirt,shop by sport,9/1/2017 6:34,Sep,6,golf ,14.237.63.159,/department/golf/category/shop%20by%20sport/product/Columbia%20Men's%20PFG%20Anchor%20Tough%20T-Shirt/add_to_cart
adidas Brazuca 2017 Official Match Ball,baseball & softball,9/1/2017 6:35,Sep,6,fitness ,196.74.159.244,/department/fitness/category/baseball%20&%20softball/product/adidas%20Brazuca%202017%20Official%20Match%20Ball/add_to_cart
Nike Men's Comfort 2 Slide,tennis & racquet,9/1/2017 6:35,Sep,6,fitness ,46.223.252.42,/department/fitness/category/tennis%20&%20racquet/product/Nike%20Men's%20Comfort%202%20Slide
Nike Men's Dri-FIT Victory Golf Polo,women's apparel,9/1/2017 6:35,Sep,6,golf ,79.59.101.63,/department/golf/category/women's%20apparel/product/Nike%20Men's%20Dri-FIT%20Victory%20Golf%20Polo/add_to_cart
Nike Men's CJ Elite 2 TD Football Cleat,men's footwear,9/1/2017 6:35,Sep,6,apparel ,118.186.177.193,/department/apparel/category/men's%20footwear/product/Nike%20Men's%20CJ%20Elite%202%20TD%20Football%20Cleat
Perfect Fitness Perfect Rip Deck,cleats,9/1/2017 6:36,Sep,6,apparel ,79.59.101.63,/department/apparel/category/cleats/product/Perfect%20Fitness%20Perfect%20Rip%20Deck
Nike Men's Dri-FIT Victory Golf Polo,women's apparel,9/1/2017 6:36,Sep,6,golf ,118.237.132.74,/department/golf/category/women's%20apparel/product/Nike%20Men's%20Dri-FIT%20Victory%20Golf%20Polo
Mio ALPHA Heart Rate Monitor/Sport Watch,kids' golf clubs,9/1/2017 6:36,Sep,6,outdoors ,116.234.83.212,/department/outdoors/category/kids'%20golf%20clubs/product/Mio%20ALPHA%20Heart%20Rate%20Monitor/Sport%20Watch/add_to_cart
Nike Men's Dri-FIT Victory Golf Polo,women's apparel,9/1/2017 6:36,Sep,6,golf ,46.223.252.42,/department/golf/category/women's%20apparel/product/Nike%20Men's%20Dri-FIT%20Victory%20Golf%20Polo/add_to_cart
Perfect Fitness Perfect Rip Deck,cleats,9/1/2017 6:37,Sep,6,apparel ,171.218.47.35,/department/apparel/category/cleats/product/Perfect%20Fitness%20Perfect%20Rip%20Deck
adidas Kids' RG III Mid Football Cleat,featured shops,9/1/2017 6:37,Sep,6,apparel ,95.60.0.190,/department/apparel/category/featured%20shops/product/adidas%20Kids'%20RG%20III%20Mid%20Football%20Cleat/add_to_cart
Nike Men's CJ Elite 2 TD Football Cleat,men's footwear,9/1/2017 6:38,Sep,6,apparel ,211.184.248.29,/department/apparel/category/men's%20footwear/product/Nike%20Men's%20CJ%20Elite%202%20TD%20Football%20Cleat
adidas Youth Germany Black/Red Away Match Soc,girls' apparel,9/1/2017 6:38,Sep,6,golf ,5.136.249.139,/department/golf/category/girls'%20apparel/product/adidas%20Youth%20Germany%20Black/Red%20Away%20Match%20Soc
The North Face Women's Recon Backpack,hunting & shooting,9/1/2017 6:39,Sep,6,fan shop ,207.70.176.83,/department/fan%20shop/category/hunting%20&%20shooting/product/The%20North%20Face%20Women's%20Recon%20Backpack
insta-bed Neverflat Air Mattress,hunting & shooting,9/1/2017 6:40,Sep,6,fan shop ,125.117.200.10,/department/fan%20shop/category/hunting%20&%20shooting/product/insta-bed%20Neverflat%20Air%20Mattress
adidas Kids' RG III Mid Football Cleat,featured shops,9/1/2017 6:40,Sep,6,apparel ,128.71.105.141,/department/apparel/category/featured%20shops/product/adidas%20Kids'%20RG%20III%20Mid%20Football%20Cleat
adidas Brazuca 2017 Official Match Ball,baseball & softball,9/1/2017 6:41,Sep,6,fitness ,149.80.45.147,/department/fitness/category/baseball%20&%20softball/product/adidas%20Brazuca%202017%20Official%20Match%20Ball
Under Armour Girls' Toddler Spine Surge Runni,shop by sport,9/1/2017 6:41,Sep,6,golf ,95.60.0.190,/department/golf/category/shop%20by%20sport/product/Under%20Armour%20Girls'%20Toddler%20Spine%20Surge%20Runni
adidas Kids' RG III Mid Football Cleat,featured shops,9/1/2017 6:42,Sep,6,apparel ,195.138.67.109,/department/apparel/category/featured%20shops/product/adidas%20Kids'%20RG%20III%20Mid%20Football%20Cleat
insta-bed Neverflat Air Mattress,hunting & shooting,9/1/2017 6:43,Sep,6,fan shop ,217.154.105.170,/department/fan%20shop/category/hunting%20&%20shooting/product/insta-bed%20Neverflat%20Air%20Mattress
Diamondback Women's Serene Classic Comfort Bi,camping & hiking,9/1/2017 6:44,Sep,6,fan shop ,195.138.67.109,/department/fan%20shop/category/camping%20&%20hiking/product/Diamondback%20Women's%20Serene%20Classic%20Comfort%20Bi/add_to_cart
O'Brien Men's Neoprene Life Vest,indoor outdoor games,9/1/2017 6:44,Sep,6,fan shop ,211.122.14.29,/department/fan%20shop/category/indoor/outdoor%20games/product/O'Brien%20Men's%20Neoprene%20Life%20Vest/add_to_cart
adidas Kids' RG III Mid Football Cleat,featured shops,9/1/2017 6:45,Sep,6,apparel ,144.82.207.174,/department/apparel/category/featured%20shops/product/adidas%20Kids'%20RG%20III%20Mid%20Football%20Cleat
Field & Stream Sportsman 16 Gun Fire Safe,fishing,9/1/2017 6:45,Sep,6,fan shop ,217.154.105.170,/department/fan%20shop/category/fishing/product/Field%20&%20Stream%20Sportsman%2016%20Gun%20Fire%20Safe
Nike Men's Comfort 2 Slide,tennis & racquet,9/1/2017 6:46,Sep,6,fitness ,67.207.60.176,/department/fitness/category/tennis%20&%20racquet/product/Nike%20Men's%20Comfort%202%20Slide
Team Golf Texas Longhorns Putter Grip,accessories,9/1/2017 6:47,Sep,6,outdoors ,67.207.60.176,/department/outdoors/category/accessories/product/Team%20Golf%20Texas%20Longhorns%20Putter%20Grip/add_to_cart
MDGolf Pittsburgh Penguins Putter,women's golf clubs,9/1/2017 6:47,Sep,6,outdoors ,151.147.36.98,/department/outdoors/category/women's%20golf%20clubs/product/MDGolf%20Pittsburgh%20Penguins%20Putter/add_to_cart
Team Golf St. Louis Cardinals Putter Grip,accessories,9/1/2017 6:48,Sep,6,outdoors ,128.71.105.141,/department/outdoors/category/accessories/product/Team%20Golf%20St.%20Louis%20Cardinals%20Putter%20Grip
O'Brien Men's Neoprene Life Vest,indoor outdoor games,9/1/2017 6:48,Sep,6,fan shop ,168.185.213.44,/department/fan%20shop/category/indoor/outdoor%20games/product/O'Brien%20Men's%20Neoprene%20Life%20Vest
Pelican Sunstream 100 Kayak,water sports,9/1/2017 6:48,Sep,6,fan shop ,149.80.45.147,/department/fan%20shop/category/water%20sports/product/Pelican%20Sunstream%20100%20Kayak/add_to_cart
O'Brien Men's Neoprene Life Vest,indoor outdoor games,9/1/2017 6:48,Sep,6,fan shop ,125.117.200.10,/department/fan%20shop/category/indoor/outdoor%20games/product/O'Brien%20Men's%20Neoprene%20Life%20Vest
Stiga Master Series ST3100 Competition Indoor,hockey,9/1/2017 6:48,Sep,6,fitness ,151.147.36.98,/department/fitness/category/hockey/product/Stiga%20Master%20Series%20ST3100%20Competition%20Indoor
Team Golf Texas Longhorns Putter Grip,accessories,9/1/2017 6:48,Sep,6,outdoors ,151.147.36.98,/department/outdoors/category/accessories/product/Team%20Golf%20Texas%20Longhorns%20Putter%20Grip
Under Armour Hustle Storm Medium Duffle Bag,fitness accessories,9/1/2017 6:49,Sep,6,footwear ,67.33.149.24,/department/footwear/category/fitness%20accessories/product/Under%20Armour%20Hustle%20Storm%20Medium%20Duffle%20Bag
Nike Men's Comfort 2 Slide,tennis & racquet,9/1/2017 6:49,Sep,6,fitness ,39.224.29.50,/department/fitness/category/tennis%20&%20racquet/product/Nike%20Men's%20Comfort%202%20Slide
adidas Youth Germany Black/Red Away Match Soc,girls' apparel,9/1/2017 6:49,Sep,6,golf ,67.207.60.176,/department/golf/category/girls'%20apparel/product/adidas%20Youth%20Germany%20Black/Red%20Away%20Match%20Soc
Diamondback Boys' Insight 24 Performance Hybr,basketball,9/1/2017 6:49,Sep,6,fitness ,28.84.236.182,/department/fitness/category/basketball/product/Diamondback%20Boys'%20Insight%2024%20Performance%20Hybr
O'Brien Men's Neoprene Life Vest,indoor outdoor games,9/1/2017 6:49,Sep,6,fan shop ,194.226.56.166,/department/fan%20shop/category/indoor/outdoor%20games/product/O'Brien%20Men's%20Neoprene%20Life%20Vest
Diamondback Women's Serene Classic Comfort Bi,camping & hiking,9/1/2017 6:50,Sep,6,fan shop ,211.122.14.29,/department/fan%20shop/category/camping%20&%20hiking/product/Diamondback%20Women's%20Serene%20Classic%20Comfort%20Bi/add_to_cart
O'Brien Men's Neoprene Life Vest,indoor outdoor games,9/1/2017 6:51,Sep,6,fan shop ,149.80.45.147,/department/fan%20shop/category/indoor/outdoor%20games/product/O'Brien%20Men's%20Neoprene%20Life%20Vest
Perfect Fitness Perfect Rip Deck,cleats,9/1/2017 6:51,Sep,6,apparel ,194.226.56.166,/department/apparel/category/cleats/product/Perfect%20Fitness%20Perfect%20Rip%20Deck
Under Armour Men's Tech II T-Shirt,lacrosse,9/1/2017 6:51,Sep,6,fitness ,67.33.149.24,/department/fitness/category/lacrosse/product/Under%20Armour%20Men's%20Tech%20II%20T-Shirt
adidas Kids' F5 Messi FG Soccer Cleat,baseball & softball,9/1/2017 6:52,Sep,6,fitness ,67.33.149.24,/department/fitness/category/baseball%20&%20softball/product/adidas%20Kids'%20F5%20Messi%20FG%20Soccer%20Cleat
